COM220	Communications optiques		Cours de base	COM	P1	P1A2	P2	P2B2	Renaud GABET									
COM221	Communications radiofréquences		Cours de base	COM	P1	P1B1	P2	P2B2	Eric BERGEAULT									
COM222	Systèmes de communications		Cours de base	COM	P1	P1B2	P2	P2B1	P3	P3A1	Bernard HUYART							
COM223	Modulations numériques		Cours de base	COM	P1	P1A1	Philippe CIBLAT											
COM224	Codage correcteur d'erreurs et performances de systèmes codés		Cours de base	COM	MDI	P2	P2A2	Aslan TCHAMKERTEN	Jean-Claude BELFIORE	Ghaya REKAYA								
COM340	Systèmes optiques		Cours de spé	COM	P3	P3B	Philippe GALLION	Yves JAOUEN										
COM341	Fonctions optiques et nanotechnologiques		Cours de spé	COM	P4	P4A	Didier ERASME											
COM342	Systèmes radio		Cours de spé	COM	P3	P3A	Bernard HUYART											
COM343	Applications des micro-ondes aux radars, antennes et réseaux sans fils		Cours de spé	COM	P4	P4B	Xavier BEGAUD											
COM344	Systèmes et technologies émergents pour les communications sans fil		Cours de spé	COM	P3	P3B	Ghaya REKAYA	Michèle WIGGER										
COM345	Théorie de l'information pour les réseaux et applications		Cours de spé	COM	P4	P4A	Aslan TCHAMKERTEN	Ghaya REKAYA	Jean-Claude BELFIORE									
COM346	Systèmes de communications satellitaires et aéroportés		Cours de spé	COM	P3	P3B	Anne-Claire LEPAGE											
COMELEC380	Projet ComElec		Cours de spé	projet	COM	ELEC	P3	P3A	P3	P3B	P4	P4A	P4	P4B	Eric BERGEAULT			
COMMDI225	Théorie de l information et du codage		Cours de base	COM	MDI	P2	P2B1	Olivier RIOUL										
COMMDI340	Physique de l'information		Cours de spé	COM	MDI	P4	P4A	Romain ALLEAUME										
COMRES348	Réseaux satellitaires		Cours de spé	COM	RES	P4	P4A	Philippe GODLEWSKI										
ELEC220	Base de l'électronique radiofréquences		Cours de base	ELEC	P2	P2A2	Patrick LOUMEAU											
ELEC221	Théories et architectures du calcul matériel		Cours de base	ELEC	P1	P1B1	P3	P3A1	Lirida ALVES DE BARROS NAVINER									
ELEC222	Architectures reconfigurables et langages HDL		Cours de base	ELEC	P1	P1A2	P2	P2B2	Yves MATHIEU									
ELEC223	Pratique des systèmes à microprocesseurs		Cours de base	ELEC	INF	P1	P1B2	P2	P2B1	Guillaume DUC								
ELEC340	Intégration des systèmes électroniques pour les radiocommunications		Cours de spé	ELEC	P4	P4A	Patricia DESGREYS											
ELEC341	Microélectronique		Cours de spé	ELEC	P3	P3B	Herve PETIT											
ELEC342	Conception des Systems on chip		Cours de spé	ELEC	P4	P4A	Tarik GRABA	Yves MATHIEU										
ELECINF344	Architecture des systèmes embarqués et objets connectés		Cours de spé	ELEC	INF	P3	P3B	Alexis POLTI	Samuel TARDIEU									
ELECINF359	Sécurité des systèmes embarqués		Cours de spé	ELEC	INF	P4	P4B	Guillaume DUC										
ELECINF381	Projet architecture des systèmes embarqués et objets connectés		Cours de spé	projet	ELEC	INF	P3	P3A	Alexis POLTI	Samuel TARDIEU								
INF220	Concepts fondamentaux de la sécurité		Cours de base	INF	P2	P2B2	P3	P3A1	Houda LABIOD	Romain ALLEAUME	Jean LENEUTRE							
INF221	Programmation logique et connaissances		Cours de base	INF	P2	P2A2	Jean-Louis DESSALLES											
