1;Centrale Lyon
2;Eurecom
3;Centrale Paris
5;Imperial College London
6;Technische Universität München
7;Escola Politécnica da Universidade de São Paulo
8;Telecom ParisTech
9;Universidad Politécnica de Madrid
10;Escuela Técnica Superior de Ingenieros Industriales - Universidad Politécnica de Madrid
11;Master de psychologie
12;Master d'Ethique du Développement Durable
13;Master de Psychologie Sociale et du travail
14;Columbia
15;Kungliga Tekniska Högskolan (KTH), Suède
16;Duke University
17;Électif semestre 8;Centrale Lyon;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
18;Modules ouverts disciplinaires;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
19;Semestre 7;Centrale Lyon;Cycle Ingénieur Généraliste;Années 1 et 2
20;Mobilite S8;Centrale Lyon;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
21;Option 3A;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
22;Metier 3A;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
23;Modules ouverts sectoriels;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
24;Modules ouverts metier;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
25;3A a l'etranger;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année hors de Centrale
26;Double diplome;Centrale Lyon;Cycle Ingénieur Généraliste;Troisième année;Troisième année hors de Centrale
27;MSc Sustainable Energy Futures;Imperial College London;Masters
28;Urban Energy Systems;Imperial College London;Masters
29;Semestre 7;Centrale Paris;Programme ingénieur
30;Semestre 8 à Centrale;Centrale Paris;Programme ingénieur
31;Semestre 8 à l'international;Centrale Paris;Programme ingénieur
32;Option 3A;Centrale Paris;Programme ingénieur
33;Filière 3A;Centrale Paris;Programme ingénieur
34;3A en dehors de Centrale Paris;Centrale Paris;Programme ingénieur
35;MSc International Health Management;Imperial College London;Masters
36;Master Medizintechnik;Technische Universität München
37;MSc Concrete Structures;Imperial College London;Masters
39;Spécialité Production;Escola Politécnica da Universidade de São Paulo
40;Optatives;Escola Politécnica da Universidade de São Paulo
41;Multimédia
42;Culture Générale;Telecom ParisTech;Cycle Master
44;Quimica y Medio Ambiente;Universidad Politécnica de Madrid;Masters
45;Quimica y Medio Ambiente S9;Escuela Técnica Superior de Ingenieros Industriales - Universidad Politécnica de Madrid
46;Quimica y Medio Ambiente S10;Escuela Técnica Superior de Ingenieros Industriales - Universidad Politécnica de Madrid
47;Quimica y Medio Ambiente S11;Escuela Técnica Superior de Ingenieros Industriales - Universidad Politécnica de Madrid
48;Pratt School of Engineering;Duke University
49;Fuqua School of Business;Duke University
50;Nicholas School of Environment;Duke University
51;Mécanique des sols;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
52;Analyse fonctionnelle : théorie et applications;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
53;Mathématiques appliquées à  la biologie;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
54;Ingénierie nucléaire;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
55;Analyser et observer la matière;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
56;Entreprendre et innover;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
57;Du micro au macro en mécanique;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
58;Sociologie des comportements politiques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
59;Les enjeux du développement durable;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
60;Matière molle;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
61;physiologie humaine;Centrale Lyon;Modules ouverts disciplinaires;Cycle Ingénieur Généraliste;Troisième année;Troisième année à Centrale
62;Méthodes pour la recherche opérationnelle et le calcul scientifique;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
63;Physico-chimie des surfaces;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
64;Méthodes Optiques;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
65;Projet industriel et développement Durable : Savoir choisir un matériau;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
66;Gestion des ressources en eau;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
67;Dynamique des rotors en ingénierie mécanique;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
68;Industrialisation des produits;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
69;Géologie et mécanique des sols;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
70;Ingénierie des procédés industriels;Centrale Lyon;Électif semestre 8;Cycle Ingénieur Généraliste;Années 1 et 2;Semestre 8
