GCC - Génie civil et construction	Département	Cursus	Ponts ParisTech														
VET - Ville Environnement Transport	Département	Cursus	Ponts ParisTech														
GMM - Génie Mécanique et Matériaux	Département	Cursus	Ponts ParisTech														
GI - Génie Industriel	Département	Cursus	Ponts ParisTech														
SEGF - Sciences Economiques, Gestion, Finance	Département	Cursus	Ponts ParisTech														
IMI - Ingénierie Mathématique et Informatique	Département	Cursus	Ponts ParisTech														
SHS - Sciences Humaines et Sociales	Département	Cursus	Ponts ParisTech														
1A	Département		Ponts ParisTech														
MMS - Mécanique des Matériaux et des Structures 	Masters	Masters Recherche	Ponts ParisTech														
SMCD - Science des Matériaux pour la Construction Durable 	Masters	Masters Recherche	Ponts ParisTech														
MSROE - Mécanique des Sols, des Roches et des Ouvrages dans leur Environnement 	Masters	Masters Recherche	GCC	Ponts ParisTech													
Energie Nucléaire 	Masters	Masters Recherche	Ponts ParisTech														
ANEDP - Analyse Numérique et Équations aux Dérivées Partielles 	Masters	Masters Recherche	Ponts ParisTech														
MAF - Mathématiques Appliquées en Finance 	Masters	Masters Recherche	Ponts ParisTech														
MVA - Mathématique, Vision, Apprentissage 	Masters	Masters Recherche	3A	IMI	Vision apprentissage	Ponts ParisTech											
SIS - Signal Image Synthèse 	Masters	Masters Recherche	Ponts ParisTech														
TM - Transport et Mobilité 	Masters	Masters Recherche	VET	Ponts ParisTech													
VISU - Villes, Services, Usages 	Masters	Masters Recherche	VET	Ponts ParisTech													
SAGE - Systèmes Aquatiques et Gestion de l’Eau 	Masters	Masters Recherche	VET	Ponts ParisTech													
OACOS - Océan, Atmosphère, Climat et Observations Spatiales 	Masters	Masters Recherche	VET	Ponts ParisTech													
APE - Analyse et Politique Économiques 	Masters	Masters Recherche	Ponts ParisTech														
EDDEE - Économie du Développement Durable, de l’Environnement et de l’Énergie 	Masters	Masters Recherche	VET	Ponts ParisTech													
PPD - Politiques Publiques et Développement	Masters	Masters Recherche	Ponts ParisTech														
Masters ENPC co-habilités : Règles d'admission et d'obtention du diplôme	Masters	Masters Recherche	Ponts ParisTech														
SGE - Science et génie de l'environnement	Masters	Masters Recherche	VET	Ponts ParisTech													
Financement de projet – Financements structurés 	Masters	Masters Pro	Ponts ParisTech														
Management et Ingénierie des Services à l'Environnement	Masters	Masters Pro	Ponts ParisTech														
GTESD - Gestion traitement des eaux des sols et des déchets	Masters	Masters Pro	Masters ParisTech	VET	Ponts ParisTech												
MVE - Mobilités et Véhicules Électriques 	Masters	Masters Pro	Ponts ParisTech														
PAPDD - Politiques et actions publiques pour le développement durable 	Masters	Masters Spé	Ponts ParisTech														
AMUR - Aménagement et Maîtrise d’ouvrage URbaine 	Masters	Masters Spé	VET	Ponts ParisTech													
